,Estado,Idade,Casos_F,Casos_M,Obitos_F,Obitos_M
0,ac,0,275,228,3,2
1,ac,1,220,186,2,2
2,ac,2,142,173,0,0
3,ac,3,117,121,0,0
4,ac,4,119,95,0,0
5,ac,5,101,119,0,1
6,ac,6,117,111,0,0
7,ac,7,125,120,0,0
8,ac,8,123,122,0,0
9,ac,9,168,156,0,0
10,ac,10,142,112,0,0
11,ac,11,148,161,1,0
12,ac,12,202,193,0,0
13,ac,13,195,177,0,0
14,ac,14,269,174,0,0
15,ac,15,303,211,0,0
16,ac,16,353,199,0,2
17,ac,17,398,251,0,0
18,ac,18,420,288,2,2
19,ac,19,487,324,0,0
20,ac,20,585,336,2,2
21,ac,21,619,438,0,0
22,ac,22,665,435,0,1
23,ac,23,704,507,0,0
24,ac,24,761,564,0,0
25,ac,25,795,570,1,1
26,ac,26,762,583,2,1
27,ac,27,781,578,3,2
28,ac,28,776,587,2,1
29,ac,29,896,515,4,1
30,ac,30,809,637,2,2
31,ac,31,860,698,0,1
32,ac,32,833,724,2,1
33,ac,33,840,682,2,1
34,ac,34,849,769,4,4
35,ac,35,908,752,3,9
36,ac,36,838,737,2,4
37,ac,37,876,734,0,6
38,ac,38,924,749,5,2
39,ac,39,913,785,2,7
40,ac,40,854,761,8,8
41,ac,41,917,738,5,10
42,ac,42,805,707,1,9
43,ac,43,767,622,4,7
44,ac,44,728,624,9,9
45,ac,45,705,635,2,4
46,ac,46,659,532,6,8
47,ac,47,635,563,2,10
48,ac,48,584,552,5,3
49,ac,49,578,447,8,9
50,ac,50,532,494,5,9
51,ac,51,544,450,9,13
52,ac,52,457,408,5,12
53,ac,53,428,378,5,11
54,ac,54,444,419,7,11
55,ac,55,448,417,4,17
56,ac,56,382,351,6,10
57,ac,57,367,328,8,10
58,ac,58,320,329,9,18
59,ac,59,347,311,8,16
60,ac,60,337,304,12,14
61,ac,61,320,303,11,16
62,ac,62,259,284,11,18
63,ac,63,323,264,21,13
64,ac,64,308,221,21,12
65,ac,65,273,243,11,17
66,ac,66,247,235,15,21
67,ac,67,214,228,12,17
68,ac,68,206,214,13,7
69,ac,69,172,192,10,23
70,ac,70,223,188,21,13
71,ac,71,160,185,10,15
72,ac,72,177,174,12,19
73,ac,73,151,160,12,18
74,ac,74,139,145,14,11
75,ac,75,124,143,17,16
76,ac,76,102,139,16,13
77,ac,77,106,112,13,20
78,ac,78,111,131,13,14
79,ac,79,89,87,10,15
80,ac,80,102,105,8,16
81,ac,81,83,79,12,12
82,ac,82,71,89,6,18
83,ac,83,57,75,6,18
84,ac,84,73,51,12,16
85,ac,85,69,51,15,12
86,ac,86,50,51,9,13
87,ac,87,30,57,6,13
88,ac,88,34,35,8,5
89,ac,89,25,25,4,8
90,ac,90,28,34,6,9
91,ac,91,28,36,8,15
92,ac,92,16,28,2,8
93,ac,93,11,19,0,3
94,ac,94,13,13,1,5
95,ac,95,14,13,7,4
96,ac,96,4,2,2,1
97,ac,97,8,3,2,2
98,ac,98,7,5,0,3
99,ac,99,2,7,0,2
100,ac,100,8,6,1,0
101,ac,101,1,7,0,0
102,ac,102,2,3,1,0
103,ac,103,3,0,0,0
104,ac,104,1,0,0,0
105,ac,105,1,2,0,1
106,ac,106,0,2,0,2
107,ac,107,1,0,0,0
108,ac,108,1,1,0,0
109,ac,109,0,0,0,0
0,al,0,509,433,8,7
1,al,1,358,467,3,2
2,al,2,391,373,1,0
3,al,3,320,300,0,1
4,al,4,271,263,0,1
5,al,5,283,293,0,1
6,al,6,307,249,0,2
7,al,7,335,248,0,0
8,al,8,308,288,0,0
9,al,9,315,307,1,1
10,al,10,347,349,0,1
11,al,11,400,322,0,1
12,al,12,444,403,1,1
13,al,13,468,398,1,0
14,al,14,570,462,1,0
15,al,15,658,529,1,0
16,al,16,799,553,2,2
17,al,17,905,669,0,0
18,al,18,1107,864,0,0
19,al,19,1304,1034,0,3
20,al,20,1505,1123,4,1
21,al,21,1653,1321,3,1
22,al,22,1925,1406,1,0
23,al,23,1990,1482,3,3
24,al,24,2243,1668,1,2
25,al,25,2256,1752,1,2
26,al,26,2409,1830,2,2
27,al,27,2250,1915,4,2
28,al,28,2261,1756,2,1
29,al,29,2370,1858,6,4
30,al,30,2326,1948,2,3
31,al,31,2497,2029,1,7
32,al,32,2637,2071,4,7
33,al,33,2651,2112,4,11
34,al,34,2800,2127,1,5
35,al,35,2714,2098,8,11
36,al,36,2651,2125,5,10
37,al,37,2752,2176,11,11
38,al,38,2895,2264,13,13
39,al,39,2936,2315,10,19
40,al,40,2637,2098,10,14
41,al,41,2654,1967,10,17
42,al,42,2656,2070,9,8
43,al,43,2544,1939,11,12
44,al,44,2639,2080,14,17
45,al,45,2332,1902,13,23
46,al,46,2352,1835,9,24
47,al,47,2228,1714,16,23
48,al,48,2075,1617,16,23
49,al,49,1968,1544,17,22
50,al,50,1954,1515,18,32
51,al,51,1976,1501,13,27
52,al,52,1912,1517,19,22
53,al,53,1833,1407,17,26
54,al,54,1688,1386,28,23
55,al,55,1558,1214,28,22
56,al,56,1613,1228,15,43
57,al,57,1557,1177,22,27
58,al,58,1386,1088,26,32
59,al,59,1208,986,22,22
60,al,60,1218,946,33,21
61,al,61,1094,877,24,36
62,al,62,1060,815,30,37
63,al,63,996,774,35,46
64,al,64,858,716,32,37
65,al,65,860,670,32,39
66,al,66,795,687,41,41
67,al,67,815,642,22,37
68,al,68,740,640,28,51
69,al,69,611,596,28,56
70,al,70,582,490,27,38
71,al,71,598,432,24,34
72,al,72,479,449,23,49
73,al,73,477,446,31,47
74,al,74,433,372,39,42
75,al,75,355,366,33,50
76,al,76,412,329,38,39
77,al,77,343,267,38,50
78,al,78,327,302,25,55
79,al,79,260,239,25,46
80,al,80,250,235,30,35
81,al,81,268,217,34,39
82,al,82,243,182,26,30
83,al,83,182,136,26,34
84,al,84,189,141,25,35
85,al,85,169,128,39,18
86,al,86,135,105,22,23
87,al,87,103,73,17,16
88,al,88,90,67,17,21
89,al,89,92,54,23,11
90,al,90,84,56,16,15
91,al,91,83,41,16,14
92,al,92,48,26,8,8
