dose,uf,sexo,idade,count
1a Dose,AC,F,0,1
1a Dose,AC,F,2,1
1a Dose,AC,F,3,1
1a Dose,AC,F,14,2
1a Dose,AC,F,16,10
1a Dose,AC,F,17,16
1a Dose,AC,F,18,594
1a Dose,AC,F,19,641
1a Dose,AC,F,20,744
1a Dose,AC,F,21,886
1a Dose,AC,F,22,947
1a Dose,AC,F,23,1064
1a Dose,AC,F,24,1214
1a Dose,AC,F,25,1231
1a Dose,AC,F,26,1262
1a Dose,AC,F,27,1250
1a Dose,AC,F,28,1255
1a Dose,AC,F,29,1336
1a Dose,AC,F,30,1354
1a Dose,AC,F,31,1568
1a Dose,AC,F,32,1599
1a Dose,AC,F,33,1627
1a Dose,AC,F,34,1665
1a Dose,AC,F,35,1904
1a Dose,AC,F,36,1947
1a Dose,AC,F,37,2080
1a Dose,AC,F,38,3035
1a Dose,AC,F,39,3051
1a Dose,AC,F,40,3374
1a Dose,AC,F,41,3419
1a Dose,AC,F,42,3379
1a Dose,AC,F,43,3147
1a Dose,AC,F,44,3037
1a Dose,AC,F,45,3047
1a Dose,AC,F,46,3033
1a Dose,AC,F,47,2884
1a Dose,AC,F,48,2834
1a Dose,AC,F,49,2784
1a Dose,AC,F,50,2895
1a Dose,AC,F,51,2731
1a Dose,AC,F,52,2636
1a Dose,AC,F,53,2473
1a Dose,AC,F,54,2597
1a Dose,AC,F,55,2603
1a Dose,AC,F,56,2298
1a Dose,AC,F,57,2261
1a Dose,AC,F,58,2213
1a Dose,AC,F,59,2086
1a Dose,AC,F,60,2565
1a Dose,AC,F,61,2305
1a Dose,AC,F,62,2218
1a Dose,AC,F,63,2117
1a Dose,AC,F,64,2004
1a Dose,AC,F,65,1934
1a Dose,AC,F,66,1824
1a Dose,AC,F,67,1726
1a Dose,AC,F,68,1650
1a Dose,AC,F,69,1520
1a Dose,AC,F,70,1470
1a Dose,AC,F,71,1299
1a Dose,AC,F,72,1200
1a Dose,AC,F,73,1149
1a Dose,AC,F,74,1005
1a Dose,AC,F,75,910
1a Dose,AC,F,76,921
1a Dose,AC,F,77,813
1a Dose,AC,F,78,812
1a Dose,AC,F,79,623
1a Dose,AC,F,80,679
1a Dose,AC,F,81,582
1a Dose,AC,F,82,512
1a Dose,AC,F,83,429
1a Dose,AC,F,84,418
1a Dose,AC,F,85,367
1a Dose,AC,F,86,267
1a Dose,AC,F,87,255
1a Dose,AC,F,88,233
1a Dose,AC,F,89,177
1a Dose,AC,F,90,195
1a Dose,AC,F,91,165
1a Dose,AC,F,92,118
1a Dose,AC,F,93,101
1a Dose,AC,F,94,69
1a Dose,AC,F,95,45
1a Dose,AC,F,96,36
1a Dose,AC,F,97,38
1a Dose,AC,F,98,27
1a Dose,AC,F,99,13
1a Dose,AC,F,100,22
1a Dose,AC,F,101,15
1a Dose,AC,F,102,9
1a Dose,AC,F,103,5
1a Dose,AC,F,104,1
1a Dose,AC,F,105,4
1a Dose,AC,F,106,2
1a Dose,AC,F,107,5
1a Dose,AC,F,108,2
1a Dose,AC,F,109,3
1a Dose,AC,F,110,3
1a Dose,AC,F,111,1
1a Dose,AC,F,112,1
1a Dose,AC,F,121,5
1a Dose,AC,M,0,2
1a Dose,AC,M,1,1
1a Dose,AC,M,2,1
1a Dose,AC,M,8,1
1a Dose,AC,M,12,2
1a Dose,AC,M,13,1
1a Dose,AC,M,14,1
1a Dose,AC,M,16,2
1a Dose,AC,M,17,19
1a Dose,AC,M,18,677
1a Dose,AC,M,19,685
1a Dose,AC,M,20,788
1a Dose,AC,M,21,903
1a Dose,AC,M,22,966
1a Dose,AC,M,23,1071
1a Dose,AC,M,24,1023
1a Dose,AC,M,25,1124
1a Dose,AC,M,26,1135
1a Dose,AC,M,27,1136
1a Dose,AC,M,28,1118
1a Dose,AC,M,29,1093
1a Dose,AC,M,30,1259
1a Dose,AC,M,31,1326
1a Dose,AC,M,32,1447
1a Dose,AC,M,33,1388
1a Dose,AC,M,34,1427
1a Dose,AC,M,35,1647
1a Dose,AC,M,36,1689
1a Dose,AC,M,37,1834
1a Dose,AC,M,38,2559
1a Dose,AC,M,39,2604
1a Dose,AC,M,40,2920
1a Dose,AC,M,41,2948
1a Dose,AC,M,42,2763
1a Dose,AC,M,43,2719
1a Dose,AC,M,44,2509
1a Dose,AC,M,45,2700
1a Dose,AC,M,46,2607
1a Dose,AC,M,47,2574
1a Dose,AC,M,48,2355
1a Dose,AC,M,49,2389
1a Dose,AC,M,50,2492
1a Dose,AC,M,51,2462
1a Dose,AC,M,52,2274
1a Dose,AC,M,53,2234
1a Dose,AC,M,54,2208
1a Dose,AC,M,55,2267
1a Dose,AC,M,56,2185
1a Dose,AC,M,57,1995
1a Dose,AC,M,58,1954
1a Dose,AC,M,59,1841
1a Dose,AC,M,60,2415
1a Dose,AC,M,61,2173
1a Dose,AC,M,62,2128
1a Dose,AC,M,63,2073
1a Dose,AC,M,64,2020
1a Dose,AC,M,65,1855
1a Dose,AC,M,66,1756
1a Dose,AC,M,67,1738
1a Dose,AC,M,68,1615
1a Dose,AC,M,69,1417
1a Dose,AC,M,70,1469
1a Dose,AC,M,71,1251
1a Dose,AC,M,72,1230
1a Dose,AC,M,73,1054
1a Dose,AC,M,74,1003
1a Dose,AC,M,75,885
1a Dose,AC,M,76,891
1a Dose,AC,M,77,750
1a Dose,AC,M,78,682
1a Dose,AC,M,79,557
1a Dose,AC,M,80,601
1a Dose,AC,M,81,545
1a Dose,AC,M,82,437
1a Dose,AC,M,83,366
1a Dose,AC,M,84,306
1a Dose,AC,M,85,317
1a Dose,AC,M,86,236
1a Dose,AC,M,87,198
1a Dose,AC,M,88,182
1a Dose,AC,M,89,127
1a Dose,AC,M,90,168
1a Dose,AC,M,91,115
1a Dose,AC,M,92,98
1a Dose,AC,M,93,75
1a Dose,AC,M,94,64
1a Dose,AC,M,95,48
1a Dose,AC,M,96,26
1a Dose,AC,M,97,20
1a Dose,AC,M,98,25
1a Dose,AC,M,99,17
1a Dose,AC,M,100,14
1a Dose,AC,M,101,12
1a Dose,AC,M,102,6
1a Dose,AC,M,103,8
1a Dose,AC,M,104,4
1a Dose,AC,M,106,2
1a Dose,AC,M,107,3
1a Dose,AC,M,108,2
1a Dose,AC,M,109,1
1a Dose,AC,M,110,1
1a Dose,AC,M,111,1
1a Dose,AC,M,121,4
1a Dose,AL,F,6,2
1a Dose,AL,F,8,2
1a Dose,AL,F,13,0
