categoria,paciente_endereco_uf,Dias até vacinar,count
Comorbidades,AC,2.0,1
Comorbidades,AC,4.0,2
Comorbidades,AC,15.0,1
Comorbidades,AC,16.0,1
Comorbidades,AC,19.0,1
Comorbidades,AC,20.0,1
Comorbidades,AC,22.0,1
Comorbidades,AC,24.0,2
Comorbidades,AC,26.0,1
Comorbidades,AC,27.0,1
Comorbidades,AC,31.0,1
Comorbidades,AC,32.0,6
Comorbidades,AC,36.0,1
Comorbidades,AC,38.0,1
Comorbidades,AC,43.0,5
Comorbidades,AC,45.0,1
Comorbidades,AC,46.0,4
Comorbidades,AC,47.0,2
Comorbidades,AC,50.0,1
Comorbidades,AC,51.0,2
Comorbidades,AC,52.0,6
Comorbidades,AC,53.0,2
Comorbidades,AC,54.0,3
Comorbidades,AC,58.0,5
Comorbidades,AC,59.0,2
Comorbidades,AC,60.0,9
Comorbidades,AC,61.0,1
Comorbidades,AC,63.0,1
Comorbidades,AC,64.0,4
Comorbidades,AC,65.0,5
Comorbidades,AC,66.0,6
Comorbidades,AC,67.0,5
Comorbidades,AC,68.0,1
Comorbidades,AC,69.0,1
Comorbidades,AC,70.0,2
Comorbidades,AC,71.0,5
Comorbidades,AC,72.0,2
Comorbidades,AC,73.0,24
Comorbidades,AC,74.0,18
Comorbidades,AC,75.0,4
Comorbidades,AC,76.0,12
Comorbidades,AC,78.0,19
Comorbidades,AC,79.0,19
Comorbidades,AC,80.0,28
Comorbidades,AC,81.0,22
Comorbidades,AC,82.0,89
Comorbidades,AC,83.0,21
Comorbidades,AC,84.0,20
Comorbidades,AC,85.0,44
Comorbidades,AC,86.0,34
Comorbidades,AC,87.0,44
Comorbidades,AC,88.0,34
Comorbidades,AC,89.0,47
Comorbidades,AC,90.0,44
Comorbidades,AC,92.0,25
Comorbidades,AC,93.0,61
Comorbidades,AC,94.0,11
Comorbidades,AC,95.0,24
Comorbidades,AC,96.0,23
Comorbidades,AC,97.0,20
Comorbidades,AC,98.0,10
Comorbidades,AC,99.0,30
Comorbidades,AC,100.0,59
Comorbidades,AC,101.0,37
Comorbidades,AC,102.0,71
Comorbidades,AC,103.0,37
Comorbidades,AC,104.0,17
Comorbidades,AC,105.0,9
Comorbidades,AC,106.0,681
Comorbidades,AC,107.0,1103
Comorbidades,AC,108.0,1129
Comorbidades,AC,109.0,1232
Comorbidades,AC,110.0,1526
Comorbidades,AC,111.0,851
Comorbidades,AC,112.0,1
Comorbidades,AC,113.0,1727
Comorbidades,AC,114.0,2318
Comorbidades,AC,115.0,2354
Comorbidades,AC,116.0,2427
Comorbidades,AC,117.0,1568
Comorbidades,AC,118.0,1818
